;Anuncios;INEM;ETTs;Contactos;Oposiciones;Autonomo;Otra
i_0089;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0090;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0092;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0197;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0198;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_si;Otra_si
i_0199;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0200;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0201;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0202;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0203;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0204;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0205;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0206;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0207;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0208;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0209;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0210;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0211;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0212;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0213;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0214;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0215;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0216;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0217;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0219;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0220;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0221;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0223;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0224;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0225;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0226;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0227;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_si;Otra_no
i_0228;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0229;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0231;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0232;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0233;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0234;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0235;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0236;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0237;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0238;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_si;Otra_no
i_0239;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0240;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0241;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0242;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0243;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0244;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0245;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0247;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0248;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0249;Anuncios_si;INEM_no;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_si;Otra_no
i_0250;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0251;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0252;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0253;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0255;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0256;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0257;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0258;Anuncios_no;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0259;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0260;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0261;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0262;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0263;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0264;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0265;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0266;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0267;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0268;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0269;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0270;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0271;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0273;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0274;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0275;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0276;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0277;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0278;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0279;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0280;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0281;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0282;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0283;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0284;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0285;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0286;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0357;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0358;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0359;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0360;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0361;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0362;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0363;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0364;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0365;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0366;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0367;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0368;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0369;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0370;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0371;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0372;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_si;Otra_si
i_0373;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0374;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0375;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0376;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0377;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0378;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0379;Anuncios_no;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0380;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0381;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0382;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0383;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0384;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0385;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0386;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0387;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_si
i_0388;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0389;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0391;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0393;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0395;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0396;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0397;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0398;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0399;Anuncios_si;INEM_no;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0400;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0401;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0403;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0404;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0407;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0408;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0409;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0410;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0411;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0412;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0413;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_si
i_0414;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0415;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0416;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0417;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0418;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0419;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0420;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0421;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0422;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0423;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0424;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0425;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0426;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0427;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0428;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_si
i_0429;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0430;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0431;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0432;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0433;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0434;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0435;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0436;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0437;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0438;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0439;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_si
i_0440;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0441;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0442;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0443;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0444;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0445;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0446;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0447;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0448;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0449;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0450;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0451;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0452;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0453;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0454;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0455;Anuncios_si;INEM_no;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_si
i_0456;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0457;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0458;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0459;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0460;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0461;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0462;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0463;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_si
i_0464;Anuncios_no;INEM_no;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0465;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0466;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0467;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0468;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0470;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0471;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0472;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0473;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0474;Anuncios_si;INEM_no;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0475;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0476;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0477;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0478;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0479;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0480;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0481;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0482;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0483;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0485;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0487;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0488;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0489;Anuncios_no;INEM_no;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0490;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0491;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0492;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0493;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0494;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0495;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
